login,alloc_type,experiment,time
pavliuchenkov_d_m,T*,110,6.23591e-05
pavliuchenkov_d_m,T*,210,0.000241011
pavliuchenkov_d_m,T*,210,0.000217039
pavliuchenkov_d_m,T*,210,0.000207753
pavliuchenkov_d_m,T*,210,0.000205593
pavliuchenkov_d_m,T*,210,0.000207429
pavliuchenkov_d_m,T*,210,0.000207429
pavliuchenkov_d_m,T*,210,0.000222654
pavliuchenkov_d_m,T*,210,0.000205485
pavliuchenkov_d_m,T*,210,0.00020419
pavliuchenkov_d_m,T*,210,0.000205809
pavliuchenkov_d_m,T*,210,0.000203542
pavliuchenkov_d_m,T*,210,0.00020419
pavliuchenkov_d_m,T*,210,0.000698413
pavliuchenkov_d_m,T*,210,0.000212396
pavliuchenkov_d_m,T*,210,0.000204298
pavliuchenkov_d_m,T*,310,6.39119e-05
pavliuchenkov_d_m,T*,310,6.36098e-05
pavliuchenkov_d_m,T*,310,6.37441e-05
pavliuchenkov_d_m,T*,310,6.35762e-05
pavliuchenkov_d_m,T*,310,6.29049e-05
pavliuchenkov_d_m,T*,310,6.37441e-05
pavliuchenkov_d_m,T*,310,6.41469e-05
pavliuchenkov_d_m,T*,310,6.92155e-05
pavliuchenkov_d_m,T*,310,6.43483e-05
pavliuchenkov_d_m,T*,310,7.28744e-05
pavliuchenkov_d_m,T*,310,6.41805e-05
pavliuchenkov_d_m,T*,310,6.2435e-05
pavliuchenkov_d_m,T*,310,6.23678e-05
pavliuchenkov_d_m,T*,310,6.35762e-05
pavliuchenkov_d_m,T*,310,6.23007e-05
pavliuchenkov_d_m,T*,410,2.85254e-05
pavliuchenkov_d_m,T*,410,2.81917e-05
pavliuchenkov_d_m,T*,410,2.75823e-05
pavliuchenkov_d_m,T*,410,2.77709e-05
pavliuchenkov_d_m,T*,410,2.73937e-05
pavliuchenkov_d_m,T*,410,2.75823e-05
pavliuchenkov_d_m,T*,410,2.73356e-05
pavliuchenkov_d_m,T*,410,2.76549e-05
pavliuchenkov_d_m,T*,410,2.9425e-05
pavliuchenkov_d_m,T*,410,2.77709e-05
pavliuchenkov_d_m,T*,410,2.77999e-05
pavliuchenkov_d_m,T*,410,2.77854e-05
pavliuchenkov_d_m,T*,410,2.7858e-05
pavliuchenkov_d_m,T*,410,2.82062e-05
pavliuchenkov_d_m,T*,410,2.77129e-05
pavliuchenkov_d_m,T*,510,1.75423e-05
pavliuchenkov_d_m,T*,510,1.62079e-05
pavliuchenkov_d_m,T*,510,1.64416e-05
pavliuchenkov_d_m,T*,510,1.62155e-05
pavliuchenkov_d_m,T*,510,1.60346e-05
pavliuchenkov_d_m,T*,510,1.60119e-05
pavliuchenkov_d_m,T*,510,1.70221e-05
pavliuchenkov_d_m,T*,510,1.62381e-05
pavliuchenkov_d_m,T*,510,1.59215e-05
pavliuchenkov_d_m,T*,510,1.60119e-05
pavliuchenkov_d_m,T*,510,1.61099e-05
pavliuchenkov_d_m,T*,510,1.62381e-05
pavliuchenkov_d_m,T*,510,1.60496e-05
pavliuchenkov_d_m,T*,510,1.59818e-05
pavliuchenkov_d_m,T*,510,1.60044e-05
pavliuchenkov_d_m,T*,610,9.43691e-06
pavliuchenkov_d_m,T*,610,9.40167e-06
pavliuchenkov_d_m,T*,610,1.00052e-05
pavliuchenkov_d_m,T*,610,9.44132e-06
pavliuchenkov_d_m,T*,610,9.63957e-06
pavliuchenkov_d_m,T*,610,9.30034e-06
pavliuchenkov_d_m,T*,610,9.31355e-06
pavliuchenkov_d_m,T*,610,9.3488e-06
pavliuchenkov_d_m,T*,610,9.30034e-06
